loss: 3.0216 | epoch: 111/50000 | score: 42 | time left: 3 days, 9:42:44 | avg_q: -3.7479 | epsilon: 0.94 | reward: -109 | avg time per epoch: 0:00:05 | time elapsed: 0:11:00 | 
loss: 0.0770 | epoch: 112/50000 | score: 48 | time left: 3 days, 9:39:42 | avg_q: -3.8518 | epsilon: 0.94 | reward: -108 | avg time per epoch: 0:00:05 | time elapsed: 0:11:05 | 
loss: 0.0987 | epoch: 113/50000 | score: 42 | time left: 3 days, 9:32:12 | avg_q: -3.3851 | epsilon: 0.94 | reward: -106 | avg time per epoch: 0:00:05 | time elapsed: 0:11:10 | 
loss: 1.5340 | epoch: 114/50000 | score: 58 | time left: 3 days, 9:37:29 | avg_q: -3.2778 | epsilon: 0.94 | reward: -121 | avg time per epoch: 0:00:05 | time elapsed: 0:11:17 | 
loss: 0.0646 | epoch: 115/50000 | score: 51 | time left: 3 days, 9:36:31 | avg_q: -3.0368 | epsilon: 0.94 | reward: -116 | avg time per epoch: 0:00:05 | time elapsed: 0:11:23 | 
loss: 0.0336 | epoch: 116/50000 | score: 52 | time left: 3 days, 9:36:37 | avg_q: -2.8001 | epsilon: 0.94 | reward: -113 | avg time per epoch: 0:00:05 | time elapsed: 0:11:29 | 
loss: 3.0625 | epoch: 117/50000 | score: 42 | time left: 3 days, 9:29:24 | avg_q: -2.4355 | epsilon: 0.94 | reward: -109 | avg time per epoch: 0:00:05 | time elapsed: 0:11:33 | 
loss: 0.0477 | epoch: 118/50000 | score: 42 | time left: 3 days, 9:22:19 | avg_q: -2.0597 | epsilon: 0.94 | reward: -112 | avg time per epoch: 0:00:05 | time elapsed: 0:11:38 | 
loss: 1.5373 | epoch: 119/50000 | score: 43 | time left: 3 days, 9:15:32 | avg_q: -2.1967 | epsilon: 0.94 | reward: -109 | avg time per epoch: 0:00:05 | time elapsed: 0:11:43 | 
loss: 0.0294 | epoch: 120/50000 | score: 42 | time left: 3 days, 9:08:39 | avg_q: -1.8525 | epsilon: 0.94 | reward: -110 | avg time per epoch: 0:00:05 | time elapsed: 0:11:48 | 
loss: 1.5477 | epoch: 121/50000 | score: 48 | time left: 3 days, 9:06:14 | avg_q: -1.6430 | epsilon: 0.94 | reward: -113 | avg time per epoch: 0:00:05 | time elapsed: 0:11:54 | 
loss: 3.0699 | epoch: 122/50000 | score: 50 | time left: 3 days, 9:04:40 | avg_q: -1.7405 | epsilon: 0.94 | reward: -108 | avg time per epoch: 0:00:05 | time elapsed: 0:11:59 | 
loss: 1.5295 | epoch: 123/50000 | score: 42 | time left: 3 days, 8:58:10 | avg_q: -1.7583 | epsilon: 0.93 | reward: -114 | avg time per epoch: 0:00:05 | time elapsed: 0:12:04 | 
loss: 1.5369 | epoch: 124/50000 | score: 42 | time left: 3 days, 8:51:39 | avg_q: -1.9536 | epsilon: 0.93 | reward: -108 | avg time per epoch: 0:00:05 | time elapsed: 0:12:09 | 
loss: 6.0778 | epoch: 125/50000 | score: 42 | time left: 3 days, 8:45:21 | avg_q: -2.4015 | epsilon: 0.93 | reward: -107 | avg time per epoch: 0:00:05 | time elapsed: 0:12:14 | 
loss: 1.5175 | epoch: 126/50000 | score: 54 | time left: 3 days, 8:47:54 | avg_q: -2.8254 | epsilon: 0.93 | reward: -116 | avg time per epoch: 0:00:05 | time elapsed: 0:12:20 | 
loss: 1.5426 | epoch: 127/50000 | score: 43 | time left: 3 days, 8:41:44 | avg_q: -2.4478 | epsilon: 0.93 | reward: -110 | avg time per epoch: 0:00:05 | time elapsed: 0:12:25 | 
loss: 0.0155 | epoch: 128/50000 | score: 49 | time left: 3 days, 8:40:30 | avg_q: -2.4814 | epsilon: 0.93 | reward: -114 | avg time per epoch: 0:00:05 | time elapsed: 0:12:31 | 
loss: 1.5026 | epoch: 129/50000 | score: 53 | time left: 3 days, 8:42:11 | avg_q: -2.3770 | epsilon: 0.93 | reward: -115 | avg time per epoch: 0:00:05 | time elapsed: 0:12:37 | 
loss: 3.0014 | epoch: 130/50000 | score: 86 | time left: 3 days, 9:05:30 | avg_q: -2.2649 | epsilon: 0.93 | reward: -120 | avg time per epoch: 0:00:05 | time elapsed: 0:12:46 | 
loss: 1.5166 | epoch: 131/50000 | score: 81 | time left: 3 days, 9:24:29 | avg_q: -2.2434 | epsilon: 0.93 | reward: -126 | avg time per epoch: 0:00:05 | time elapsed: 0:12:55 | 
loss: 3.0192 | epoch: 132/50000 | score: 58 | time left: 3 days, 9:28:32 | avg_q: -2.8340 | epsilon: 0.93 | reward: -118 | avg time per epoch: 0:00:05 | time elapsed: 0:13:02 | 
