loss: 17.2347 | epoch: 124/30000 | score: 59 | time left: 1 day, 22:28:34 | avg_q: 8.1439 | epsilon: 0.96 | reward: -171 | avg time per epoch: 0:00:05 | time elapsed: 0:11:34 | 
loss: 17.3303 | epoch: 125/30000 | score: 50 | time left: 1 day, 22:29:11 | avg_q: 7.7208 | epsilon: 0.96 | reward: -148 | avg time per epoch: 0:00:05 | time elapsed: 0:11:40 | 
loss: 20.1062 | epoch: 126/30000 | score: 52 | time left: 1 day, 22:30:22 | avg_q: 7.9657 | epsilon: 0.96 | reward: -143 | avg time per epoch: 0:00:05 | time elapsed: 0:11:46 | 
loss: 17.1870 | epoch: 127/30000 | score: 41 | time left: 1 day, 22:27:10 | avg_q: 8.1259 | epsilon: 0.96 | reward: -122 | avg time per epoch: 0:00:05 | time elapsed: 0:11:50 | 
loss: 20.4189 | epoch: 128/30000 | score: 41 | time left: 1 day, 22:24:04 | avg_q: 8.3453 | epsilon: 0.96 | reward: -132 | avg time per epoch: 0:00:05 | time elapsed: 0:11:55 | 
loss: 17.0891 | epoch: 129/30000 | score: 42 | time left: 1 day, 22:21:21 | avg_q: 8.2848 | epsilon: 0.96 | reward: -137 | avg time per epoch: 0:00:05 | time elapsed: 0:12:00 | 
loss: 3.9176 | epoch: 130/30000 | score: 41 | time left: 1 day, 22:18:22 | avg_q: 8.3674 | epsilon: 0.96 | reward: -124 | avg time per epoch: 0:00:05 | time elapsed: 0:12:05 | 
loss: 20.6267 | epoch: 131/30000 | score: 41 | time left: 1 day, 22:16:05 | avg_q: 9.5152 | epsilon: 0.96 | reward: -121 | avg time per epoch: 0:00:05 | time elapsed: 0:12:10 | 
loss: 14.1537 | epoch: 132/30000 | score: 42 | time left: 1 day, 22:14:21 | avg_q: 8.4888 | epsilon: 0.96 | reward: -125 | avg time per epoch: 0:00:05 | time elapsed: 0:12:15 | 
loss: 14.3944 | epoch: 133/30000 | score: 41 | time left: 1 day, 22:11:42 | avg_q: 9.4791 | epsilon: 0.96 | reward: -139 | avg time per epoch: 0:00:05 | time elapsed: 0:12:20 | 
